08:21:03: A 1 6
08:21:31: F 1 6
08:21:31: A 2 24
08:22:52: F 2 24
08:48:13: A 3 753
08:54:39: A 4 5
08:55:30: A 5 5
08:55:34: F 4 5
08:55:46: F 5 5
08:56:51: A 6 5
08:58:14: F 6 5
08:58:46: A 7 5
09:00:10: F 7 5
09:01:11: A 8 5
09:02:03: F 8 5
09:02:48: A 9 5
09:03:37: F 9 5
09:03:37: A 10 5
09:05:30: F 10 5
09:06:02: A 11 5
09:07:27: F 11 5
09:08:28: A 12 5
09:09:16: F 12 5
09:12:29: A 13 5
09:19:42: A 14 5
09:20:20: F 14 5
09:21:05: A 15 5
09:21:09: F 15 5
09:23:46: A 16 5
09:24:35: F 16 5
09:25:07: A 17 5
09:26:31: F 17 5
09:28:20: A 18 5
09:28:24: F 18 5
09:31:33: F 13 5
09:31:49: A 19 5
09:47:52: A 20 1015
10:04:23: F 19 5
10:13:18: A 21 30
10:13:39: F 21 30
10:15:14: A 22 5
10:20:01: F 3 753
10:30:12: F 20 1015
10:45:55: A 25 72
10:46:27: A 26 212
10:47:49: F 22 5
10:51:10: F 26 212
10:51:25: A 27 1608
10:57:09: A 28 190
11:18:07: A 30 5
11:18:26: F 30 5
11:18:45: F 28 190
11:19:23: A 31 5
11:51:26: F 31 5
12:00:34: A 32 80
12:02:29: F 32 80
12:06:56: A 33 80
12:08:31: F 33 80
12:21:32: A 34 5
12:51:00: F 27 1608
12:51:14: A 35 993
12:53:48: F 34 5
13:12:47: F 35 993
13:13:16: A 36 1683
13:15:11: A 37 5
13:46:58: F 37 5
13:49:45: A 38 5
